ID,caption,situation
2200,"A photo of a Japanese woman wearing a black long-sleeved top and a long, pleated plaid skirt in shades of black, white, and purple. She carries a gold tote bag and completes the look with black footwear, presenting a classic and slightly preppy style.",outfit for a morning business meeting in a Tokyo office building
2201,"A photo of a Japanese woman wearing a white graphic tee paired with wide-leg, navy blue trousers and black slip-on shoes. She accessorizes with a black leather belt and a small black handbag. The overall style is minimalist and chic, combining comfort with a sophisticated aesthetic.",outfit for a casual yet professional meeting at a design studio in Setagaya on a mild spring day
2202,"A photo of a Japanese woman wearing a light blue ruffled crop top and wide-leg, ivory-colored trousers. She is also holding a small black handbag and wearing patterned platform sandals. The outfit presents a soft and elegant, feminine style.",outfit for a casual brunch with friends in a garden cafe during cherry blossom season
2203,"A photo of a Japanese woman wearing a black overcoat over a patterned midi dress, paired with white socks and black platform loafers. She accessorizes with a red crossbody bag and delicate gold jewelry. The outfit embodies a sophisticated and slightly edgy aesthetic with a focus on classic silhouettes and contrasting colors.",outfit for crisp autumn evening walk through Shibuya neon streets heading to contemporary art exhibition opening
2204,"A photo of a Japanese woman wearing a cream-colored lace-trimmed cardigan over a neutral-toned top, paired with wide-leg, light-wash denim jeans and pink sandals. She is carrying a beige tote bag, creating a casual yet stylish look with a touch of vintage flair.",outfit for a leisurely brunch at a quiet cafe in Shibuya during early spring
2205,"A photo of a Japanese woman wearing a brown long-sleeve top, wide-leg light wash denim jeans, and white Adidas sneakers. She accessorizes with a cream-colored beanie, a white shoulder bag, and gloves. The outfit embodies a casual and trendy street style aesthetic.",outfit for a woman walking through the snow covered streets of Shinjuku on a crisp December morning
2206,"A photo of a Japanese woman wearing a black teddy coat over blue straight-leg jeans and black platform boots. She is accessorizing with a black shoulder bag and sunglasses, creating a casual yet stylish street-style look. The outfit incorporates comfortable textures and classic denim for a relaxed vibe.",outfit for late autumn stroll through the illuminated streets of Shibuya after a day of office work
2207,"A photo of a Japanese woman wearing a sheer long-sleeved top with a lace-up design paired with a plaid mini skirt. She completes the look with knee-high white socks and black pointed-toe shoes, showcasing a trendy and edgy fashion style.",outfit for a rainy spring afternoon meeting a friend at a trendy cafe in Shimokitazawa
2208,"A photo of a Japanese woman wearing a navy blue oversized sweatshirt with white lettering and a lace-trimmed underlayer, paired with distressed dark gray cargo pants and chunky black platform sneakers. The outfit features a casual, streetwear-inspired style with a mix of textures and a relaxed silhouette. She is also wearing a white headband and silver earrings.",outfit for a breezy late spring afternoon walking through a plum blossom festival in Yoyogi Park and grabbing a crepe at a street stall
2209,"A photo of a Japanese woman wearing a striped navy and white long-sleeved top paired with wide-leg black trousers. She is carrying a brown leather tote bag and black pointed-toe shoes, completing a minimalist and chic casual style.",outfit for morning commute to a corporate office in Shinjuku business district
2210,"A photo of a Japanese woman wearing a black cardigan over a white knit top, paired with wide-leg black leather pants and black loafers. She is also carrying a large black tote bag, creating a chic and minimalist everyday style.",outfit for a brisk autumn morning commuting to a creative agency office in Shibuya
2211,A photo of a Japanese woman wearing a white and black patterned long-sleeved blouse with black wide-leg trousers and black flip-flops. She is also carrying a small black fringed bag and holding a beverage. The outfit presents a casual and relaxed style with a playful print.,outfit for a relaxed lunch break at a trendy Shibuya café on a sunny summer afternoon
2212,"A photo of a Japanese woman wearing a black oversized leather jacket over a patterned blue and green dress. She pairs the outfit with black platform boots and white socks, accessorizing with a brown leather shoulder bag. The overall style is a trendy and comfortable mix of edgy and casual fashion.",outfit for a late night stroll through Shibuya crossing after a karaoke session
2213,"A photo of a Japanese woman wearing a long, brown, double-breasted coat over a patterned midi skirt and black ankle boots. The outfit features a classic and elegant style with warm, earthy tones. She is completing her look with flowing brown hair and a sophisticated appearance.",outfit for attending a corporate after work networking event at a trendy Tokyo restaurant during a crisp autumn evening
2214,"A photo of a Japanese woman wearing a relaxed outfit featuring a green and black plaid flannel shirt layered over a white top, paired with ripped, light-wash grey wide-leg jeans and black chunky platform shoes. The look is casual and trendy, leaning towards a streetwear-inspired aesthetic with a comfortable, oversized fit.",outfit for a relaxed Saturday brunch with friends at a cafe in Shimokitazawa
2215,"A photo of a Japanese woman wearing a navy blue long-sleeved top and a tiered black maxi skirt. She is also carrying a black tote bag and wearing white sneakers, creating a casual and layered street style look.",outfit for a casual walk through the tree lined streets of Shimokitazawa on a crisp late spring afternoon
2216,"A photo of a Japanese woman wearing a black and dark green striped cape over a matching striped top and pleated mini skirt. She is also wearing black socks and pointed-toe shoes embellished with studs, completing a gothic and edgy fashion style.",outfit for a midnight cosplay event at an anime convention in Akihabara
2217,"A photo of a Japanese woman wearing a loose black oversized top layered over a white inner shirt, paired with baggy, light-wash denim pants and black platform shoes. The outfit embodies a relaxed and streetwear-inspired aesthetic with a focus on comfortable, oversized silhouettes and muted color tones.",outfit for a stroll through the autumn leaves in Ueno Park on a crisp fall day
2218,"A photo of a Japanese woman wearing a striped long-sleeve shirt layered under a dark green utility vest, paired with light gray sweatpants cuffed at the ankles and brown suede boots. The outfit has a casual and relaxed street style with a mix of practical and comfortable pieces.",outfit for a rainy afternoon walk through the autumn streets of Nakano while picking up late night ramen
2219,"A photo of a Japanese woman wearing a black hooded jacket with a faux fur trim, light wash flared denim jeans, and black patterned slip-on shoes. The outfit presents a casual and comfortable style with a touch of vintage flair.",outfit for a relaxed Sunday brunch at a riverside cafe in Kyoto during late autumn
2220,"A photo of a Japanese woman wearing a black cardigan over a white collared shirt, paired with wide-leg black leather trousers and canvas sneakers. She is carrying a large black tote bag, completing a minimalist and chic street style look. The outfit features neutral colors and relaxed silhouettes.",outfit for a casual workday at a creative office in Shibuya carrying a laptop and meeting notes
2221,"A photo of a Japanese woman wearing a light beige, ruffled peplum top paired with loose-fitting, khaki-colored trousers and black flip-flops. The outfit presents a casual and comfortable style with earthy tones and relaxed silhouettes. She is holding a smartphone, likely taking a mirror selfie.",outfit for a relaxed afternoon tea at a cozy cafe in Shimokitazawa after a morning of hiking
2222,"A photo of a Japanese woman wearing a gray beanie, a light gray tank top, a dark plaid flannel shirt, a dark plaid mini skirt, patterned tights, and white Reebok sneakers. The outfit combines casual and street style elements with a playful aesthetic featuring contrasting patterns and textures.",outfit for relaxed lunch break at a cafe near Shibuya after a morning at a design studio
2223,"A photo of a Japanese woman wearing a vibrant patterned cream short-sleeve shirt with pink and blue floral motifs, paired with loose black wide-leg trousers and white sneakers. She accessorizes with a pink beanie, a black crossbody bag, a silver watch, and blue socks, creating a playful and eclectic street style look.","outfit for a relaxed afternoon stroll through Shimokitazawa on a bright spring day, sipping matcha at a sidewalk café"
2224,"A photo of a Japanese woman wearing a black long-sleeve top layered under a gray tweed vest dress. She pairs the outfit with black trousers and black loafers, accessorizing with a quilted black crossbody bag and black-framed glasses. The overall style is classic and sophisticated with a touch of preppy flair.",outfit for a midweek corporate presentation in a Tokyo office building
2225,"A photo of a Japanese woman wearing a relaxed, earthy-toned outfit. She is styled in a sheer, long-sleeved cardigan layered over a neutral-colored tank top, paired with wide-leg, high-waisted white trousers. A small white shoulder bag and blush pink strappy sandals complete the look, creating a soft, minimalist aesthetic with a touch of elegance.",outfit for a leisurely stroll through Kyoto Philosopher Path on a sunny spring afternoon
2226,"A photo of a Japanese woman wearing a white crewneck t-shirt, light wash wide-leg jeans, and black flip-flops. She is accessorizing with a black shoulder bag and a simple brown belt. The outfit creates a casual and effortless street style look.",outfit for a relaxed Sunday morning coffee with friends in Shibuya
2227,"A photo of a Japanese woman wearing a short-sleeved, cocoa-brown mini dress with a white collared shirt layered underneath. She accessorizes with cream-colored knee-high socks and black chunky loafers. She carries a matching cocoa-brown satchel bag, completing a preppy and vintage-inspired look.",outfit for a casual shopping spree in shimokitazawa on a sunny Saturday
2228,"A photo of a Japanese woman wearing a light blue denim shirt layered over a black lace camisole and wide-leg black trousers. She accessorizes with a small patterned handbag and embellished black flats, completing a chic and casual outfit with a touch of femininity.",outfit for a late spring networking brunch at a rooftop cafe in Roppongi
2229,A photo of a Japanese woman wearing a black oversized knit sweater layered over a light blue button-down shirt and wide-leg pinstripe trousers. She is also wearing a black baseball cap and carrying a black tote bag. The outfit features a relaxed and casual aesthetic with a focus on comfortable silhouettes and neutral colors.,outfit for a relaxed Sunday brunch at a café in Nakameguro after a morning yoga session
2230,"A photo of a Japanese woman wearing a black, full-length overall dress over a sheer, white long-sleeved blouse. She accessorizes with a delicate gold necklace and small gold earrings. The outfit is completed with black, classic loafers, offering a chic and minimalist aesthetic.",outfit for a mid morning meeting at a small design studio in Shibuya
2231,"A photo of a Japanese woman wearing a cream-colored cable-knit cardigan over a gray pleated skirt. She accessorizes with knee-high striped socks and white sneakers, complemented by a black crossbody bag and a red beret for a preppy and casual style.",outfit for attending a university club meeting after class on a cool spring afternoon
2232,"A photo of a Japanese woman wearing a burgundy crewneck sweater with wide-leg, vintage-wash blue jeans and a luxurious brown faux fur coat draped over her shoulder. She is accessorized with a delicate layered pearl necklace and carries a black leather tote bag. Her footwear consists of patterned slip-on sandals, completing a relaxed yet sophisticated casual style.",outfit for strolling through the plum blossom-lined streets of Osaka Namba district during a crisp autumn evening
2233,"A photo of a Japanese woman wearing a long-sleeve white top paired with a unique layered skirt featuring baroque patterns and black fabric accents. She carries a black handbag and completes the look with chunky black boots, embodying a high-fashion and avant-garde style.",outfit for attending a midnight art exhibition opening at the Mori Art Museum in Roppongi
2234,"A photo of a Japanese woman wearing a black leather bomber jacket over a warm orange knit top and wide-leg silver trousers. She is also wearing black loafers and carrying a black handbag. The outfit has a chic and relaxed street style with a modern, slightly androgynous aesthetic.",outfit for a casual after-work gathering at a rooftop bar in Shibuya on a crisp autumn evening
2235,"A photo of a Japanese woman wearing a beige, short jacket over a black top and paired with dark plaid wide-leg trousers. She is accessorizing with a long necklace and carrying a black tote bag, completing a casual yet stylish outfit. The look features a blend of classic and contemporary elements for an everyday fashion aesthetic.",outfit for commuting to a midrise office in Tokyo on a cool autumn morning after a short lunch meeting
2236,"A photo of a Japanese woman wearing a light blue, oversized knit sweater paired with a black pleated leather mini skirt and black combat boots. The outfit showcases a trendy and casual style with a mix of cozy knitwear and edgy leather details.",outfit for after-work drinks in shibuya during a cool autumn evening
2237,"A photo of a Japanese woman wearing a black outfit consisting of a black cropped tank top, black cargo pants, and black sneakers. She accessorizes with a black bandana and a black backpack, completing a street style look. The overall aesthetic is dark and edgy with a focus on comfortable, utilitarian clothing.",outfit for a late-night karaoke session with friends in a neon-lit izakaya in Shinjuku
2238,"A photo of a Japanese woman wearing a long-sleeved cream turtleneck layered under a black slip dress and a flowing black maxi skirt. She carries a white shoulder bag and wears black chunky boots, creating a chic and slightly edgy style. The outfit combines classic and modern elements for a sophisticated look.",outfit for attending a winter gallery opening in an intimate Tokyo venue during late December
2239,"A photo of a Japanese woman wearing a peachy-pink velour short-sleeved shirt paired with wide-leg black denim jeans. She accessorizes with a black shoulder bag, delicate silver jewelry, and floral-print slip-on sandals. Her style appears casual and slightly retro with a modern twist.",outfit for a sunny Saturday morning walking through Ueno Park flower market sipping matcha tea at a nearby café
2240,"A photo of a Japanese woman wearing a mustard yellow peplum top and a cream-colored knitted maxi skirt. She is also carrying a cream-colored ruched handbag and wearing cream-colored open-toe sandals. The outfit has a soft, bohemian aesthetic with a focus on textured fabrics and earthy tones.",outfit for a breezy spring day strolling through the streets of Asakusa sipping coffee at a sidewalk café
2241,"A photo of a Japanese woman wearing a dark grey oversized blazer over a white layered dress. She pairs the outfit with light grey knee-high socks and black platform boots. A white polka dot handbag and a black baseball cap complete the look, showcasing a cute and slightly edgy street style.",outfit for walking through the late‑night streets of Shibuya after a live music show meeting friends at a rooftop bar
2242,A photo of a Japanese woman wearing a dark green workwear jacket over a cream-colored satin jumpsuit and black loafers. She is accessorizing with a bright blue tote bag and delicate gold jewelry. The overall style is effortlessly chic with a relaxed and slightly oversized fit.,outfit for a business lunch with a corporate partner in Shibuya
2243,"A photo of a Japanese woman wearing a long, flowing black maxi dress layered with a warm brown oversized coat. She accessorizes with a thin black belt, black pointed-toe boots, and delicate gold jewelry. The outfit showcases a minimalist and sophisticated style with a focus on comfortable, flowing silhouettes and neutral colors.",outfit for a cozy winter evening in Kyoto with a formal dinner at a high‑end izakaya after a long corporate day
2244,"A photo of a Japanese woman wearing a dark charcoal grey textured knit sweater layered over a white collared shirt, paired with wide-leg black trousers and black shoes. She is accessorized with delicate silver necklaces and glasses, embodying a minimalist and relaxed street style.",outfit for midweek business casual meeting in glass-walled office in Shinjuku during early autumn drizzle
2245,A photo of a Japanese woman wearing a cream-colored shearling jacket with leather sleeves over a muted olive green skirt and paired with black knee-high boots. She is carrying a fluffy white handbag and showcases a chic and cozy winter style.,outfit for winter commute to a downtown Tokyo office after the first snow of the year
2246,"A photo of a Japanese woman wearing a long-sleeve black knit dress paired with white socks and black loafers. She accessorizes with a burgundy leather handbag and a colorful, layered scarf. The outfit exhibits a feminine and slightly preppy aesthetic with a touch of Japanese street style.",outfit for a casual coffee meetup on a rainy Wednesday in Shimokitazawa with autumn leaves fluttering
2247,"A photo of a Japanese woman wearing a black and olive green quilted jacket over a white t-shirt, paired with wide-leg gray pants and silver sneakers. The outfit features a mix of textures and a relaxed, casual style with a touch of sporty flair.",outfit for a casual coffee run in Shibuya after a long day of work
2248,"A photo of a Japanese woman wearing a cozy mauve mohair cardigan over a matching knit beanie, paired with wide-leg light blue sweatpants and silver pointed-toe flats. The outfit embodies a relaxed and comfortable street style with a focus on soft textures and muted colors.",outfit for strolling through a misty Kyoto garden on a rainy afternoon while sipping matcha in a quiet tea house
2249,"A photo of a Japanese woman wearing a black long-sleeve top with a white lace collar and a dramatic layered black and white maxi skirt. She is accessorizing with white lace gloves and carrying a small white handbag. Her outfit has a gothic lolita and Victorian aesthetic, completed with black platform boots.",outfit for attending a gothic lolita cosplay party at a Shibuya anime convention
2250,"A photo of a Japanese woman wearing a long, light olive green lace dress with delicate shoulder detailing and a matching thin belt. She is accessorizing with a cream-colored clutch and patterned pointed-toe heels, completing a sophisticated and feminine look.",outfit for a chic after-work gathering at a rooftop bar in Shibuya during cherry blossom season
2251,"A photo of a Japanese woman wearing a long-sleeved black top paired with a layered, ruffled black tulle skirt and black boots. The outfit features a dark and gothic aesthetic with a flowing, dramatic silhouette. She is accessorizing with a black belt and a delicate necklace, creating a moody and elegant look.",outfit for a midnight gallery opening at a contemporary art space in Shinjuku with dim lighting and avant garde music
2252,"A photo of a Japanese woman wearing a light blue, long-sleeved button-down shirt with flared cuffs and a black pleated mini skirt. She is accessorized with black knee-high socks and chunky platform loafers, carrying a small black shoulder bag. The outfit combines preppy and edgy elements for a stylish, contemporary look.",outfit for casual brunch at a trendy cafe in shimokitazawa on a breezy spring afternoon
2253,"A photo of a Japanese woman wearing a brown shearling-lined aviator jacket over a metallic gold slip dress. She pairs the outfit with black combat boots and white ankle socks. The look is a blend of edgy and feminine styles, creating a casual yet fashionable aesthetic.",outfit for a chilly evening stroll along the illuminated canal in Odaiba during winter
2254,"A photo of a Japanese woman wearing a long-sleeved black top with a ruffled detail paired with an off-white maxi skirt. She is accessorizing with a fuzzy beige bag and black ankle boots, completing a chic and minimalist aesthetic. The outfit showcases a blend of casual and elegant styles with a focus on neutral tones.",outfit for a leisurely stroll through the autumn foliage in Yoyogi Park during a crisp October afternoon
2255,"A photo of a Japanese woman wearing a light blue co-ord set consisting of a cropped cardigan, a lace camisole, and a pleated mini skirt. She accessorizes with white knee-high socks, platform sneakers, and a small white shoulder bag. The overall style is soft, feminine, and reminiscent of a dreamy pastel aesthetic.",outfit for a sunny spring morning strolling through Ueno Parks cherry blossoms with friends
2256,"A photo of a Japanese woman wearing a light blue, cropped knit sweater and a long, heather gray maxi skirt. She accessorizes with a black crossbody bag and black leather boots, creating a minimalist and casual street style look. Her outfit combines comfort and simplicity with a focus on neutral tones.",outfit for a relaxed afternoon walking through the autumnal streets of Kyoto's Higashiyama district
2257,"A photo of a Japanese woman wearing a black puffer jacket, grey wide-leg trousers, and white chunky sneakers. She accessorizes with a black shoulder bag and a grey baseball cap, completing a comfortable and casual street style look.",outfit for strolling through the snow covered streets of Shinjuku after a long office day
2258,"A photo of a Japanese woman wearing a teal oversized knit sweater paired with wide-leg, high-waisted black trousers and black loafers. She carries a black leather bucket bag and accessorizes with a simple necklace and belt. The overall style is relaxed and minimalist with a focus on comfortable, flowing silhouettes.",outfit for a quiet morning coffee at a quiet bakery in Shimokitazawa
2259,"A photo of a Japanese woman wearing a purple and navy plaid ruffled blouse, a long black skirt, and gray ankle boots. She is accessorized with a light gray beret and a cream-colored shoulder bag. The outfit presents a feminine and slightly vintage fashion style.",outfit for a late autumn office presentation at a Tokyo co‑working space
2260,"A photo of a Japanese woman wearing a relaxed, oversized plaid flannel shirt in shades of brown and orange, paired with classic blue wide-leg denim jeans and black rounded-toe shoes. She is also carrying a black backpack, completing a casual and effortlessly stylish look with a vintage-inspired vibe.",outfit for leisurely walk through Kyoto Arashiyama bamboo grove early autumn photographing falling maple leaves
2261,"A photo of a Japanese woman wearing a cream quilted jacket layered over a denim jacket, paired with a long, sheer leopard print skirt and black ankle boots. She is carrying a yellow and blue striped tote bag. The outfit features a mix of textures and patterns creating a bohemian and eclectic style.",outfit for a relaxed afternoon at a summer street festival in Kamakura with friends
2262,"A photo of a Japanese woman wearing a brown tweed jacket and matching mini skirt with a cream ribbed turtleneck sweater. She completes the look with tan knee-high boots, showcasing a sophisticated and slightly playful autumn style.",outfit for meeting a client at a stylish Tokyo coworking space during the autumn foliage season
2263,"A photo of a Japanese woman wearing a light blue oversized button-down shirt with wide-leg, off-white trousers and black loafers. She accessorizes with a dark backpack and a green baseball cap, creating a relaxed and minimalist street style look.",outfit for strolling through Kyoto’s Philosopher’s Path on a sunny spring morning
2264,"A photo of a Japanese woman wearing a white beanie, a black oversized coat, and a light gray graphic sweatshirt. She pairs wide-leg dark blue denim jeans with chunky white and gray sneakers, accessorizing with black crossbody bag and glasses. The outfit embodies a relaxed and casual street style with a touch of vintage flair.",outfit for strolling through the crisp autumn streets of Shibuya in the early evening before grabbing a bowl of ramen
2265,"A photo of a Japanese woman wearing a black long-sleeve polo shirt, light grey wide-leg sweatpants, and white sneakers. She accessorizes with black sunglasses and carries a black tote bag. The outfit creates a relaxed and casual streetwear style.",outfit for a casual walk through kyoto arashiyama park in autumn light breeze
2266,"A photo of a Japanese woman wearing a beige tweed overcoat over a black button-down shirt and wide-leg black trousers. She is also carrying a black duffel bag and wearing black loafers, creating a sophisticated and minimalist style.",outfit for a corporate meeting in a glass office building in Marunouchi on a crisp October morning
2267,"A photo of a Japanese woman wearing a dark navy double-breasted blazer over a cream-colored, flowing maxi skirt and paired with black ankle boots. She is also wearing glasses and a light-colored inner layer. The overall style combines classic and feminine elements with a touch of casual comfort.",outfit for a mid october board meeting in a modern Tokyo office with floor to ceiling windows overlooking the city
2268,"A photo of a Japanese woman wearing a black oversized graphic sweatshirt with colorful floral designs, paired with a long, cream-colored lace skirt. She accessorizes with a red knit hat, black tote bag, and dark-colored sneakers, completing a trendy and eclectic street style look.",outfit for a casual walk through Shimokitazawa on a mild spring morning after a brunch with friends
2269,"A photo of a Japanese woman wearing a brown and beige plaid oversized blazer over a light blue collared shirt and black cropped shorts. She pairs the outfit with brown leather loafers and white socks, completing a relaxed and slightly androgynous style. The look features a mix of textures and a comfortable, casual aesthetic.",outfit for a casual office gathering on a sunny afternoon at a co-working space in shibuya
2270,"A photo of a Japanese woman wearing a light blue knitted cardigan over a white lace collared top and a tiered, cream-colored tulle skirt. She carries a round, white quilted shoulder bag and completes the look with cream-colored sneakers, showcasing a dreamy, cottagecore aesthetic.",outfit for a cherry blossom viewing picnic at a Kyoto park
2271,A photo of a Japanese woman wearing a light wash denim jacket over a black graphic tee and wide-leg gray sweatpants. She is also carrying a silver metallic tote bag and wearing blue suede loafers. The outfit has a relaxed and casual street style aesthetic.,outfit for a relaxed sunday brunch at a cafe in shibuya after a leisurely stroll through the harajuku street scene
2272,"A photo of a Japanese woman wearing a light blue Adidas track jacket with white stripes over a white crop top and paired with navy blue Adidas track pants featuring white stripes down the sides. She completes the sporty look with silver sneakers and has a relaxed, casual style.",outfit for a relaxed bike ride along the sumida riverbank in tokyo during the early cherry blossom season
2273,"A photo of a Japanese woman wearing a layered outfit with a sheer long-sleeve top over a black mini dress featuring a side slit. She accessorizes with a black leather belt and carries a dark shoulder bag. Her footwear consists of sleek black knee-high boots, completing a chic and modern street style look.",outfit for a stylish after work gathering at a rooftop bar in Shibuya on a crisp autumn evening
2274,"A photo of a Japanese woman wearing a long black floral patterned dress layered over a black long-sleeved top with black boots and carrying a metallic silver handbag. The outfit features a mix of floral patterns and solid colors, creating a casual yet stylish look. She embodies a contemporary and chic fashion style.",outfit for a casual Friday night at a trendy rooftop bar in Shibuya
2275,"A photo of a Japanese woman wearing a cozy grey teddy coat over a creamy white knitted sweater and a flowing blush pink tiered maxi skirt. She completes the look with classic beige loafers, creating a soft and feminine aesthetic with a touch of casual elegance.",outfit for a leisurely stroll through the cherry blossom lined streets of Ueno park on a mild spring afternoon
2276,"A photo of a Japanese woman wearing a minimalist outfit featuring a white long-sleeved top and a black, high-waisted midi skirt with a side slit. She is accessorized with a black shoulder bag and black ankle boots, completing a chic and understated look with a neutral color palette. The overall style is modern and elegant with a touch of sophistication.",outfit for meeting with a client at a sleek shibuya office on a crisp october morning
2277,"A photo of a Japanese woman wearing a muted blue, long-sleeved knit sweater paired with wide-leg, high-waisted black trousers and white sneakers. She carries a black shoulder bag and is holding a camera to her face. The outfit features a minimalist and relaxed aesthetic with a touch of classic elegance.",outfit for a leisurely photography walk along the autumn-lit streets of Kyoto's Gion district
2278,"A photo of a Japanese woman wearing a relaxed outfit featuring wide-leg dark wash denim pants and a white top. She is layered with a light brown jacket and carries a cream-colored bag. Her style is minimalist and modern, completed with white sneakers for a casual look.",outfit for strolling through an autumn leaf festival in Ueno Park during a crisp October morning
2279,A photo of a Japanese woman wearing a white lacey top and light wash straight-leg jeans. She is accessorizing with a blue Desigual shoulder bag and black platform sandals. The outfit creates a casual and chic Y2K aesthetic.,outfit for a casual coffee date in shimokitazawa after a day of exploring vintage shops
2280,"A photo of a Japanese woman wearing a dark baseball cap with white lettering, a green and cream color-blocked jacket, a white lace mini skirt, black ankle boots, and a black strap across her chest. The outfit presents a street style aesthetic with a mix of sporty and feminine elements.",outfit for a casual after-work hangout at a rooftop cafe overlooking Tokyo Tower on a clear autumn evening
2281,"A photo of a Japanese woman wearing a long black overcoat over a collared shirt and tan trousers. She is accessorized with red socks and black leather boots, completing a casual yet sophisticated style. The outfit features classic pieces with a touch of color and a relaxed fit.",outfit for a rainy autumn commute through Shibuya's streets toward a mid-level business meeting
2282,"A photo of a Japanese woman wearing a black long-sleeved crop top and a high-waisted, floor-length black skirt with a silver buckle belt. She is also carrying a black leather shoulder bag and appears to be embracing a dark and minimalist fashion style.",outfit for a date night at an after-hours jazz club in Roppongi Hills
2283,"A photo of a Japanese woman wearing a dark olive green oversized blazer with contrasting olive green padded shoulders, a white graphic t-shirt, ripped light wash denim jeans, and black leather loafers. She is carrying a black leather tote bag, completing a relaxed and casual yet stylish look with a touch of streetwear influence.",outfit for saturday coffee at a trendy cafe in shimokitazawa
2284,A photo of a Japanese woman wearing a long black coat over a black top and wide-leg dark wash jeans. She accessorizes with a silver necklace and black chunky-heeled shoes. The outfit embodies a chic and minimalist aesthetic with a touch of street style.,outfit for an after work dinner at a stylish izakaya in shibuya
2285,"A photo of a Japanese woman wearing a black and white striped midi dress layered over a white skirt, accessorized with colorful pins, a white shoulder bag, and black sneakers with red accents. She is also wearing a white face mask and colorful socks, showcasing a whimsical and eclectic personal style.",outfit for a casual day exploring the vibrant streets of Asakusa while enjoying matcha sweets and souvenirs
2286,"A photo of a Japanese woman wearing a grey cardigan over a white polka dot blouse, paired with wide-leg black velvet trousers and black loafers. She is accessorizing with a small brown shoulder bag and a delicate necklace. The outfit creates a sophisticated and casual look, blending textures like knitwear and velvet for a chic ensemble.",outfit for attending a modern art museum opening in tokyo roppongi district
2287,"A photo of a Japanese woman wearing a brown knitted cardigan with floral details over a cream-colored, long satin skirt with lace trim. She is accessorizing with a brown leather crossbody bag and black slide sandals. Her overall style is cottagecore with a touch of vintage aesthetic, featuring soft colors and delicate textures.",outfit for strolling through a cherry blossom lined garden in Kyoto enjoying matcha and browsing local crafts
2288,"A photo of a Japanese woman wearing a brown and black patterned knit cardigan over a white top, paired with wide-leg black trousers and white sneakers. The outfit embodies a relaxed yet stylish aesthetic with a focus on comfortable silhouettes and earthy tones. She is also carrying a grey tote bag and wearing delicate earrings.",outfit for a relaxed weekend coffee shop meetup in a rainy spring afternoon in Shibuya
2289,"A photo of a Japanese woman wearing a long, teal maxi dress with delicate lace detailing at the yoke and sleeves. She pairs the dress with black loafers and a natural straw hat, creating a relaxed and vintage-inspired aesthetic. The outfit features a comfortable, flowing silhouette and a touch of rustic charm.",outfit for a relaxed garden picnic at Ueno Park during plum blossom season
2290,"A photo of a Japanese woman wearing a sheer, long-sleeved blue top with black, wide-leg parachute pants and black chunky boots. The outfit creates a modern, edgy streetwear look with a focus on relaxed silhouettes and contrasting textures.",outfit for late night karaoke in shinjuku after a long day at office
2291,"A photo of a Japanese woman wearing a white long-sleeve top layered under a black oversized leather jacket and wide-leg, light-wash blue denim jeans. She is completing the look with black pointed-toe boots, creating a relaxed yet chic streetwear style.",outfit for a relaxed coffee meet up in a trendy café in shimokitazawa on a cool autumn morning
2292,"A photo of a Japanese woman wearing a light blue top with white lace detailing paired with a gray polka dot pleated skirt. She is accessorized with white socks, black loafers, and a black beret, creating a vintage and slightly preppy aesthetic.","outfit for a casual stroll through the historic streets of Kyoto during cherry blossom season, sipping matcha at a teahouse with friends"
2293,"A photo of a Japanese woman wearing a brown and black checkered blazer over a white t-shirt and wide-leg dark wash denim jeans. She is accessorized with a grey knit hat and a brown leather shoulder bag, completing a casual and relaxed street style look with black shoes.",outfit for walking through Kyoto autumnal streets while visiting a quiet shrine in the evening
2294,"A photo of a Japanese woman wearing a black mini dress with a white collared undershirt, paired with a cream-colored fluffy coat. She accessorizes with a red handbag and black platform lace-up boots, completing a cute and trendy street style look.",outfit for a late afternoon stroll through Ueno Park toward a cherry blossom festival in early spring
2295,"A photo of a Japanese woman wearing a white oversized long-sleeve top with a small logo, paired with black leggings and white sneakers. The outfit features a casual and comfortable street style with a minimalist aesthetic.",outfit for strolling through the cherry blossom lined streets of Ueno Park on a bright spring morning
2296,"A photo of a Japanese woman wearing a dark navy knitted cardigan with a nordic pattern, paired with vibrant rust-colored velvet wide-leg trousers and black loafers. She is carrying a small black shoulder bag, completing a cozy and retro-inspired outfit.",outfit for a rainy autumn afternoon strolling through Kyoto historic streets and enjoying matcha at a quiet teahouse
2297,"A photo of a Japanese woman wearing a royal blue Adidas t-shirt with white stripes, paired with wide-leg, light wash denim jeans and tan platform sneakers. She accessorizes with a black baseball cap and a small red shoulder bag, completing a casual and sporty street style look.",outfit for a sunny day trip to Enoshima beach with friends
2298,"A photo of a Japanese woman wearing a light gray crewneck sweatshirt with writing, a patterned white top underneath, wide-leg blue denim jeans, and red sneakers. She accessorizes with red shoulder bag and black-framed glasses, creating a casual and stylish street style look.",outfit for a weekend brunch at a trendy café in Shimokitazawa during early spring
2299,"A photo of a Japanese woman wearing a monochrome outfit featuring wide-leg black trousers and a loose-fitting black shirt layered over a black top. She carries a cream-colored shoulder bag and completes the look with black shoes, embodying a minimalist and chic style.",outfit for a morning presentation at a minimalist co working space in shibuya on a crisp february day
